gene._id,gene.bnumber,gene.name
RDBECOLIGNC01754,b1464,yddE
RDBECOLIGNC03625,b1470,yddJ
RDBECOLIGNC03626,b1471,yddK
RDBECOLIGNC03627,b1472,yddL
RDBECOLIGNC03628,b1477,yddM
RDBECOLIGNC00936,b1479,maeA
RDBECOLIGNC03637,b1489,dosP
RDBECOLIGNC03639,b1491,digH
RDBECOLIGNC01681,b1494,pqqL
RDBECOLIGNC03647,b1503,ydeR
RDBECOLIGNC03648,b1504,ydeS
RDBECOLIGNC03649,b1505,ydeT
RDBECOLIGNC03650,b1506,yneL
RDBECOLIGNC03660,b1520,yneE
RDBECOLIGNC03661,b1522,dgcF
RDBECOLIGNC03665,b1526,ptrR
RDBECOLIGNC01582,b1529,marC
RDBECOLIGNC02215,b1539,ydfG
RDBECOLIGNC03670,b1543,ydfJ
RDBECOLIGNC03676,b1550,gnsB
RDBECOLIGNC03677,b1551,ynfN
RDBECOLIGNC03679,b1553,rzpQ
RDBECOLIGNC03680,b1554,rrrQ
RDBECOLIGNC03682,b1556,essQ
RDBECOLIGNC02088,b1558,cspF
RDBECOLIGNC03683,b1559,ydfT
RDBECOLIGNC03684,b1560,ydfU
RDBECOLIGNC01112,b1561,rem
RDBECOLIGNC03685,b1565,ydfV
RDBECOLIGNC03696,b1585,ynfC
RDBECOLIGNC03703,b1592,clcB
RDBECOLIGNC03706,b1595,ynfL
RDBECOLIGNC03707,b1596,ynfM
RDBECOLIGNC03709,b1598,ydgD
RDBECOLIGNC03715,b1606,folM
RDBECOLIGNC01026,b1610,tus
RDBECOLIGNC03718,b1614,ydgA
RDBECOLIGNC00418,b1619,hdhA
RDBECOLIGNC03721,b1624,ydgJ
RDBECOLIGNC03722,b1625,cnu
RDBECOLIGNC03732,b1636,pdxY
RDBECOLIGNC01031,b1637,tyrS
RDBECOLIGNC01442,b1638,pdxH
RDBECOLIGNC01443,b1639,mliC
RDBECOLIGNC03733,b1640,anmK
RDBECOLIGNC03736,b1643,ydhI
RDBECOLIGNC03737,b1644,ydhJ
RDBECOLIGNC03738,b1645,ydhK
RDBECOLIGNC03740,b1647,ydhF
RDBECOLIGNC03741,b1648,ydhL
RDBECOLIGNC01500,b1652,rnt
RDBECOLIGNC01501,b1653,lhr
RDBECOLIGNC03746,b1657,ydhP
RDBECOLIGNC02036,b1659,punR
RDBECOLIGNC01371,b1662,ribC
RDBECOLIGNC02257,b1663,mdtK
RDBECOLIGNC02548,b1665,valV
RDBECOLIGNC02549,b1666,valW
RDBECOLIGNC03748,b1667,ydhR
RDBECOLIGNC03757,b1678,ldtE
RDBECOLIGNC03763,b1685,ydiH
RDBECOLIGNC03764,b1686,menI
RDBECOLIGNC03765,b1687,ydiJ
RDBECOLIGNC03766,b1688,ydiK
RDBECOLIGNC03769,b1691,ydiN
RDBECOLIGNC02282,b1694,ydiF
RDBECOLIGNC03772,b1697,ydiQ
RDBECOLIGNC03773,b1698,ydiR
RDBECOLIGNC03774,b1699,ydiS
RDBECOLIGNC03775,b1700,ydiT
RDBECOLIGNC02220,b1701,fadK
RDBECOLIGNC01116,b1708,nlpC
RDBECOLIGNC00124,b1709,btuD
RDBECOLIGNC00123,b1711,btuC
RDBECOLIGNC03780,b1724,ydiZ
RDBECOLIGNC03781,b1725,yniA
RDBECOLIGNC03786,b1730,ydjO
RDBECOLIGNC03787,b1731,cedA
RDBECOLIGNC00655,b1740,nadE
RDBECOLIGNC03789,b1742,ves
RDBECOLIGNC03796,b1750,ydjX
RDBECOLIGNC03797,b1751,ydjY
RDBECOLIGNC03798,b1752,ydjZ
RDBECOLIGNC03799,b1753,ynjA
RDBECOLIGNC03800,b1754,ynjB
RDBECOLIGNC03801,b1755,ynjC
RDBECOLIGNC03802,b1756,ynjD
RDBECOLIGNC03803,b1757,ynjE
RDBECOLIGNC01002,b1763,topB
RDBECOLIGNC00931,b1764,selD
RDBECOLIGNC01117,b1765,ydjA
RDBECOLIGNC00956,b1766,sppA
RDBECOLIGNC00041,b1767,ansA
RDBECOLIGNC01118,b1768,pncA
RDBECOLIGNC02232,b1769,ydjE
RDBECOLIGNC03808,b1770,ydjF
RDBECOLIGNC03809,b1771,ydjG
RDBECOLIGNC03810,b1772,ydjH
RDBECOLIGNC03811,b1773,ydjI
